Time,Gross domestic product,Personal consumption expenditures,Goods,Durable goods,Nondurable goods,Services,Gross private domestic investment,Fixed investment,Nonresidential,Structures,Equipment,Intellectual property products,Residential,Exports,Goods,Services,Imports,Goods,Services,Government consumption expenditures and gross investment,Federal,National defense,Nondefense,State and local
1929,8.752,8.787,15.721,35.785,10.341,6.068,13.438,9.93,13.363,3.235,25.796,16.111,4.108,14.234,18.188,6.22,10.714,11.233,8.35,4.986,6.23,6.134,6.011,3.415
1930,8.415,8.415,14.884,33.69,9.805,5.894,12.865,9.525,12.739,3.062,24.762,15.423,4.02,12.886,16.27,6.221,9.136,9.269,7.994,4.834,5.953,5.943,5.648,3.323
1931,7.583,7.514,12.832,30.082,8.382,5.479,11.774,8.814,11.865,2.802,23.471,14.451,3.639,10.14,12.488,5.793,7.383,7.249,7.098,4.596,5.914,5.867,5.651,3.125
1932,6.719,6.627,11.055,26.505,7.187,4.95,9.955,7.793,10.745,2.432,22.137,13.13,2.967,8.794,10.766,5.2,5.918,5.681,6.016,4.177,5.62,5.722,5.22,2.805
1933,6.537,6.391,10.964,25.861,7.15,4.639,9.122,7.616,10.481,2.457,21.268,12.216,2.922,8.793,11.264,3.943,5.672,5.685,5.091,4.281,5.662,5.684,5.323,2.892
1934,6.855,6.681,12.045,27.414,7.908,4.58,9.145,7.982,10.821,2.464,22.468,12.433,3.245,10.196,13.177,4.3,6.444,6.491,5.681,4.602,6.04,5.94,5.74,3.12
1935,6.993,6.846,12.368,27.259,8.173,4.68,9.034,8.025,10.941,2.579,22.269,12.635,3.199,10.455,13.5,4.437,6.55,6.596,5.781,4.643,6.082,6.139,5.715,3.15
1936,7.08,6.909,12.416,27.416,8.202,4.756,9.139,8.118,10.954,2.575,22.235,12.938,3.355,10.808,13.825,4.87,7.009,7.08,6.097,4.82,6.615,6.282,6.364,3.18
1937,7.339,7.16,12.863,28.545,8.487,4.933,9.816,8.796,11.824,2.926,23.507,13.442,3.683,11.526,14.652,5.392,7.822,7.912,6.77,4.912,6.704,6.43,6.427,3.254
1938,7.203,6.997,12.342,28.524,8.069,4.938,9.527,8.906,11.902,2.871,24.073,13.378,3.801,10.996,13.558,6.125,7.228,7.091,6.988,4.931,6.786,6.443,6.53,3.247
1939,7.113,6.929,12.155,28.179,7.942,4.924,9.465,8.866,11.797,2.839,23.819,13.451,3.825,10.848,13.261,6.341,7.587,7.22,8.103,4.85,6.67,6.44,6.381,3.195
1940,7.177,6.988,12.264,28.463,8.01,4.963,9.694,9.085,12.059,2.885,24.457,13.661,3.94,11.766,14.22,7.307,8.092,7.707,8.621,4.803,6.458,6.238,6.171,3.218
1941,7.648,7.423,13.272,30.569,8.687,5.139,10.398,9.747,12.842,3.087,26.013,14.442,4.305,12.847,15.241,8.761,8.547,8.266,8.62,5.105,6.831,6.625,6.455,3.425
1942,8.285,8.347,15.466,35.786,10.112,5.501,11.51,10.7,14.212,3.444,28.609,16.046,4.624,15.528,18.561,10.298,9.79,9.575,9.635,5.167,6.792,6.478,7.32,3.761
1943,8.68,9.115,17.244,39.035,11.315,5.845,12.069,11.256,14.836,3.743,28.758,17.723,5.003,16.986,20.463,11.013,10.538,10.383,10.273,5.163,6.732,6.4,7.657,4.022
1944,8.888,9.638,18.392,43.881,11.973,6.113,12.543,11.721,15.286,3.826,29.311,19.251,5.488,19.131,23.433,11.862,11.069,11.089,10.575,5.098,6.616,6.275,8.016,4.188
1945,9.11,10.024,19.234,46.415,12.499,6.313,12.884,12.091,15.681,3.996,29.806,19.781,5.858,18.97,23.338,11.586,11.38,11.359,10.916,5.151,6.668,6.321,8.26,4.341
1946,10.257,10.722,20.7,48.332,13.542,6.696,14.057,13.276,17.254,4.476,32.628,20.834,6.358,18.333,22.15,12.049,12.688,12.797,11.923,6.531,8.73,8.411,9.38,4.754
1947,11.41,11.809,23.191,52.568,15.29,7.184,16.647,15.53,19.97,5.425,36.964,22.877,7.616,21.285,26.352,12.245,15.2,15.714,13.32,7.124,9.394,9.208,9.371,5.347
1948,12.057,12.477,24.559,55.258,16.227,7.563,18.0,16.83,21.638,6.035,39.629,24.063,8.256,22.421,28.051,12.112,16.52,17.353,13.791,7.41,9.367,9.23,9.147,5.98
1949,12.052,12.379,23.985,55.636,15.698,7.691,18.224,17.151,22.12,6.014,41.206,24.105,8.366,21.083,25.987,12.379,15.745,16.427,13.409,7.615,9.735,9.531,9.697,6.034
1950,12.166,12.527,24.061,55.918,15.737,7.888,18.599,17.533,22.579,6.089,42.245,24.669,8.572,20.53,25.124,12.501,16.724,17.769,13.436,7.689,9.851,9.729,9.545,6.074
1951,12.991,13.38,26.003,59.666,17.086,8.276,20.256,19.025,24.689,6.791,45.833,26.185,9.186,23.196,28.802,13.158,20.213,22.308,14.229,8.161,10.248,10.029,10.348,6.673
1952,13.274,13.654,26.253,60.037,17.269,8.579,20.62,19.479,25.228,6.971,46.757,26.517,9.439,23.337,28.676,13.91,19.481,21.208,14.259,8.33,10.364,10.087,10.895,6.964
1953,13.444,13.834,26.133,59.566,17.209,8.909,20.684,19.665,25.5,7.108,46.959,26.979,9.507,23.271,28.385,14.325,18.645,20.299,13.645,8.423,10.445,10.125,11.311,7.102
1954,13.581,13.95,26.033,58.261,17.25,9.133,20.825,19.808,25.73,7.021,48.051,27.172,9.545,22.955,27.981,14.17,18.899,20.735,13.607,8.601,10.694,10.387,11.423,7.209
1955,13.773,14.005,25.88,58.035,17.138,9.288,21.132,20.133,26.089,7.162,48.449,27.818,9.743,23.151,28.246,14.235,18.798,20.679,13.462,8.936,11.208,10.91,11.815,7.356
1956,14.244,14.284,26.32,59.435,17.383,9.508,22.34,21.286,28.033,7.775,52.052,28.876,9.992,23.925,29.317,14.422,19.129,21.085,13.644,9.416,11.751,11.504,11.941,7.823
1957,14.742,14.718,27.143,61.621,17.893,9.786,23.083,22.015,29.403,8.108,54.983,29.793,10.019,24.833,30.271,15.327,19.347,21.273,13.868,9.825,12.265,12.009,12.451,8.159
1958,15.086,15.066,27.761,62.741,18.329,10.028,23.162,22.106,29.611,7.978,56.054,30.515,9.994,24.581,29.94,15.223,18.543,20.162,13.581,10.125,12.747,12.461,13.095,8.286
1959,15.285,15.29,27.903,63.738,18.356,10.297,23.381,22.325,30.011,8.022,57.081,31.012,10.024,24.636,30.231,14.877,18.692,20.278,13.749,10.25,12.856,12.547,13.374,8.44
1960,15.494,15.541,28.122,63.497,18.575,10.571,23.516,22.465,30.191,8.012,57.562,31.484,10.091,24.982,30.434,15.398,18.871,20.494,13.851,10.362,12.945,12.633,13.474,8.587
1961,15.659,15.702,28.227,63.657,18.652,10.759,23.471,22.414,30.068,7.963,57.249,31.689,10.107,25.36,31.013,15.446,18.871,20.299,14.118,10.541,13.097,12.739,13.864,8.807
1962,15.849,15.886,28.373,63.931,18.754,10.963,23.496,22.439,30.095,8.026,56.978,31.843,10.123,25.422,30.771,15.977,18.649,19.814,14.302,10.738,13.279,12.891,14.181,9.036
1963,16.03,16.077,28.609,64.175,18.941,11.138,23.432,22.385,30.103,8.095,56.682,31.884,10.044,25.372,30.672,16.005,19.011,19.996,14.89,10.999,13.61,13.231,14.453,9.248
1964,16.275,16.309,28.92,64.465,19.194,11.342,23.584,22.54,30.299,8.21,56.652,32.376,10.122,25.575,30.88,16.193,19.411,20.536,15.016,11.288,14.032,13.605,15.04,9.428
1965,16.572,16.544,29.224,63.936,19.54,11.553,23.947,22.909,30.636,8.449,56.725,32.603,10.406,26.389,31.954,16.56,19.682,20.637,15.54,11.594,14.38,13.96,15.353,9.712
1966,17.037,16.962,29.868,63.796,20.165,11.886,24.437,23.389,31.107,8.753,56.909,33.098,10.783,27.189,33.045,16.866,20.14,21.102,15.93,12.056,14.865,14.449,15.808,10.179
1967,17.531,17.389,30.394,64.821,20.533,12.28,25.063,24.02,31.868,9.025,58.21,33.602,11.155,28.238,34.43,17.345,20.218,21.133,16.085,12.468,15.197,14.794,16.072,10.695
1968,18.277,18.069,31.454,66.898,21.273,12.815,26.005,24.984,33.003,9.479,59.808,34.777,11.745,28.842,34.961,18.027,20.525,21.416,16.399,13.136,15.962,15.535,16.902,11.315
1969,19.175,18.883,32.673,68.784,22.194,13.476,27.252,26.226,34.395,10.103,61.499,36.309,12.57,29.806,36.044,18.759,21.06,22.02,16.732,13.907,16.786,16.328,17.807,12.081
1970,20.186,19.766,33.919,70.268,23.192,14.223,28.424,27.372,36.041,10.767,63.802,38.04,12.974,30.975,37.675,19.161,22.306,23.516,17.329,15.016,18.109,17.553,19.435,13.056
1971,21.211,20.605,34.938,72.694,23.846,14.999,29.832,28.74,37.73,11.596,65.82,39.432,13.725,32.107,38.683,20.415,23.676,24.721,18.898,16.206,19.59,19.016,20.938,14.056
1972,22.128,21.308,35.833,73.495,24.611,15.634,31.076,29.967,39.021,12.43,66.684,40.609,14.561,33.513,39.711,22.319,25.334,26.616,19.84,17.432,21.316,21.006,21.921,14.948
1973,23.34,22.455,37.97,74.584,26.595,16.389,32.77,31.635,40.595,13.393,67.811,42.618,15.854,37.931,45.971,23.427,29.738,31.371,22.949,18.623,22.8,22.543,23.259,15.949
1974,25.434,24.793,42.709,79.48,30.617,17.778,36.038,34.764,44.542,15.244,72.897,46.596,17.492,46.714,57.841,26.385,42.545,46.944,27.292,20.412,24.62,24.387,25.013,17.717
1975,27.796,26.86,46.159,86.593,32.984,19.302,40.356,38.984,50.41,17.065,84.0,50.336,19.109,51.491,64.202,28.207,46.087,50.877,29.504,22.297,26.785,26.442,27.411,19.421
1976,29.327,28.333,47.966,91.329,34.058,20.641,42.587,41.233,53.187,17.901,89.157,52.561,20.347,53.181,65.943,29.839,47.475,52.237,30.838,23.522,28.451,28.17,28.935,20.369
1977,31.148,30.176,50.526,95.419,36.009,22.203,45.725,44.397,56.71,19.454,94.635,54.868,22.425,55.348,68.394,31.514,51.658,57.023,33.03,24.977,30.201,30.015,30.477,21.636
1978,33.339,32.276,53.626,100.76,38.311,23.91,49.431,48.111,60.502,21.332,99.891,57.725,25.179,58.715,72.323,33.869,55.299,60.817,36.03,26.629,32.239,32.216,32.179,23.042
1979,36.104,35.143,58.698,107.438,42.44,25.915,53.867,52.434,65.368,23.811,106.353,61.562,28.023,65.787,81.705,36.656,64.761,71.721,40.689,28.82,34.664,34.765,34.353,25.077
1980,39.375,38.928,65.271,116.762,47.647,28.61,58.908,57.325,71.138,26.024,115.715,66.316,31.045,72.462,89.531,41.325,80.674,90.513,47.222,31.802,38.013,38.319,37.286,27.821
1981,43.092,42.415,70.12,124.57,51.326,31.541,64.404,62.589,77.902,29.603,124.182,71.265,33.557,77.828,95.89,44.928,85.035,95.583,49.275,34.959,41.563,41.995,40.574,30.731
1982,45.756,44.771,72.031,129.429,52.491,34.017,67.817,66.105,82.329,31.939,129.288,75.312,35.356,78.199,95.103,47.471,82.173,91.729,49.312,37.336,44.501,45.155,43.034,32.742
1983,47.545,46.676,73.331,132.052,53.392,36.106,68.025,66.357,82.193,31.125,129.659,78.125,36.193,78.518,94.55,49.361,79.093,87.894,48.503,38.781,45.977,46.824,44.065,34.189
1984,49.262,48.439,74.718,134.005,54.502,37.985,68.758,67.004,82.453,31.397,128.6,80.315,37.265,79.252,95.402,49.877,78.409,87.289,47.669,40.464,48.003,48.969,45.814,35.65
1985,50.82,50.128,75.917,135.423,55.522,39.843,69.609,67.98,83.305,32.144,128.6,81.651,38.289,76.893,90.643,51.673,75.834,83.854,47.61,41.718,49.022,49.794,47.327,37.102
1986,51.85,51.219,75.562,136.912,54.813,41.48,71.174,69.644,84.766,32.76,131.183,82.286,39.978,75.61,87.532,53.438,75.832,81.976,52.769,42.418,49.255,49.815,48.109,38.171
1987,53.126,52.802,77.992,140.852,56.677,42.726,72.656,71.061,85.734,33.286,132.038,83.761,41.707,77.28,89.488,54.583,80.416,87.811,53.517,43.564,49.597,50.173,48.415,39.953
1988,55.002,54.865,80.048,143.175,58.479,44.769,74.483,73.044,87.893,34.698,133.864,86.381,43.159,81.237,95.005,55.799,84.264,91.994,56.129,45.004,51.215,51.745,50.179,41.289
1989,57.159,57.261,83.128,145.784,61.38,46.88,76.382,74.928,89.937,36.057,136.423,87.494,44.57,82.583,96.22,57.344,86.106,94.568,55.831,46.723,52.646,53.147,51.695,43.244
1990,59.307,59.775,86.532,147.232,64.898,49.029,77.978,76.565,91.867,37.222,139.212,88.404,45.597,83.048,95.371,60.061,88.575,96.305,60.015,48.682,54.272,54.872,53.079,45.465
1991,61.303,61.774,88.647,149.39,66.793,50.946,79.3,77.906,93.606,37.896,141.57,90.535,46.19,83.974,95.327,62.625,87.837,94.484,62.21,50.45,56.224,56.601,55.584,47.13
1992,62.701,63.42,89.717,150.422,67.764,52.758,79.3,77.949,93.3,37.905,141.355,89.634,46.759,83.566,93.841,64.097,87.907,93.968,63.957,51.978,57.66,58.247,56.548,48.736
1993,64.189,65.0,90.496,151.903,68.314,54.582,80.24,78.886,93.5,39.016,139.703,90.261,48.663,83.704,93.369,65.3,87.234,92.918,64.499,53.203,58.918,59.147,58.565,49.95
1994,65.557,66.356,91.417,154.876,68.679,56.066,81.437,80.099,94.238,40.394,139.454,90.732,50.424,84.676,94.436,66.092,88.053,93.595,65.764,54.613,60.539,60.696,60.335,51.237
1995,66.933,67.754,92.271,156.006,69.396,57.632,82.748,81.43,95.176,42.143,137.927,93.406,52.227,86.569,96.677,67.336,90.466,96.09,67.818,56.163,62.413,62.422,62.496,52.602
1996,68.156,69.203,93.285,154.431,70.968,59.214,82.7,81.498,94.599,43.214,134.799,93.818,53.348,85.419,94.226,68.663,88.889,93.655,69.51,57.314,63.455,63.465,63.538,53.809
1997,69.337,70.407,93.177,151.059,71.709,60.883,82.748,81.64,94.07,44.864,131.083,94.326,54.634,83.914,91.613,69.359,85.8,89.787,69.508,58.439,64.436,64.35,64.698,55.006
1998,70.102,70.967,91.777,146.79,71.182,62.172,82.14,81.196,92.594,46.915,125.201,93.868,56.075,81.927,88.725,69.215,81.18,84.363,68.149,59.433,65.26,65.152,65.56,56.078
1999,71.084,72.001,92.258,142.835,72.951,63.409,82.218,81.333,91.666,48.357,120.368,95.383,58.176,81.311,87.509,69.819,81.664,84.46,70.245,61.422,66.872,66.801,67.112,58.231
2000,72.709,73.822,94.089,140.293,76.084,65.21,83.296,82.486,92.068,50.252,117.751,98.1,60.758,82.873,89.024,71.501,85.236,88.913,70.017,64.059,69.115,69.056,69.339,61.03
2001,74.385,75.302,94.018,137.545,76.893,67.292,84.006,83.206,91.698,52.884,114.281,97.969,63.642,82.223,88.502,70.578,83.031,86.412,69.057,65.909,70.395,70.365,70.576,63.128
2002,75.5,76.291,93.122,134.074,76.898,69.033,84.281,83.453,91.219,55.089,111.883,96.657,65.218,81.507,87.581,70.264,82.042,84.921,70.147,67.61,72.669,72.712,72.735,64.538
2003,77.012,77.894,93.003,129.173,78.488,71.336,84.973,84.183,90.517,57.057,108.99,95.926,68.308,82.8,88.405,72.493,84.523,86.729,75.515,70.091,75.849,76.317,75.221,66.646
2004,79.069,79.827,94.311,126.647,81.206,73.528,87.455,86.642,91.409,61.282,108.078,95.613,73.102,85.818,91.512,75.363,88.553,90.869,79.097,73.016,78.458,78.965,77.77,69.726
2005,81.537,82.127,96.203,125.332,84.319,75.998,90.993,90.223,93.78,68.841,107.827,96.232,78.338,88.784,94.418,78.479,93.764,96.638,81.85,76.726,81.723,82.562,80.461,73.667
2006,84.074,84.44,97.494,123.187,86.946,78.75,94.194,93.428,96.066,77.037,106.758,97.372,82.914,91.604,97.332,81.141,97.393,100.511,84.412,80.063,84.327,85.452,82.573,77.406
2007,86.352,86.607,98.576,120.564,89.505,81.388,95.615,94.857,97.621,81.581,106.377,98.571,84.01,95.059,101.139,83.933,100.794,103.906,87.864,83.653,86.829,88.071,84.879,81.603
2008,87.977,89.17,101.524,118.304,94.506,83.783,96.4,95.658,99.131,85.751,105.708,100.125,82.828,99.387,106.345,86.595,110.783,115.245,92.235,87.213,89.472,90.999,87.023,85.692
2009,88.557,88.921,99.084,116.081,92.0,84.432,95.297,94.494,98.488,84.186,106.354,98.877,79.93,93.484,98.82,83.622,98.534,100.771,88.378,86.836,89.279,90.352,87.637,85.201
2010,89.618,90.514,100.533,113.946,94.791,86.077,93.688,93.026,96.695,83.502,102.543,98.593,79.643,97.378,103.284,86.495,104.107,107.079,91.228,89.149,91.394,92.273,90.094,87.642
2011,91.466,92.804,104.325,113.023,100.417,87.742,94.598,93.991,97.756,86.244,102.518,99.807,80.236,103.508,110.868,89.957,112.04,116.289,94.172,91.861,93.9,94.979,92.262,90.494
2012,93.176,94.534,105.62,111.595,102.831,89.648,95.797,95.241,99.13,90.209,103.088,100.292,81.006,104.298,111.092,91.79,112.359,116.442,95.134,93.46,94.783,95.99,92.927,92.579
2013,94.786,95.781,105.049,109.551,102.895,91.659,96.678,96.16,99.229,91.474,102.857,99.948,85.095,104.457,110.344,93.61,110.894,114.181,96.886,95.634,95.597,96.459,94.308,95.654
2014,96.436,97.121,104.542,106.771,103.409,93.795,98.331,97.922,100.17,96.213,102.124,100.326,89.986,104.515,109.207,95.88,110.067,112.66,98.954,97.578,97.215,97.85,96.287,97.804
2015,97.277,97.299,101.35,104.617,99.735,95.462,98.728,98.582,100.345,97.719,101.498,100.626,92.454,99.455,101.423,95.849,101.283,102.053,97.966,97.581,97.609,98.053,96.968,97.567
2016,98.208,98.284,99.71,102.337,98.405,97.629,98.549,98.55,99.38,97.668,100.206,99.453,95.699,97.457,97.467,97.44,97.825,97.81,97.888,97.766,98.205,98.419,97.897,97.505
2017,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018,102.29,102.047,100.811,98.633,101.935,102.626,101.539,101.568,100.427,101.174,99.921,100.582,105.64,103.325,103.545,102.91,102.662,102.709,102.464,103.619,102.775,102.642,102.968,104.126
2019,103.981,103.509,100.426,97.686,101.848,104.965,102.912,102.961,101.406,105.261,99.982,100.736,108.6,102.829,101.85,104.694,100.999,100.474,103.307,105.155,104.352,104.067,104.767,105.638
2020,105.398,104.666,99.666,96.814,101.15,107.088,104.118,104.245,101.97,106.852,99.461,101.897,112.51,100.279,97.869,104.985,98.891,97.766,104.028,107.425,105.423,105.374,105.499,108.65
2021,110.184,108.972,104.599,102.182,105.83,111.044,107.651,108.039,103.147,110.427,99.908,102.609,125.162,111.82,111.702,111.689,106.032,105.212,109.566,113.177,108.918,109.225,108.518,115.855
2022,118.035,116.1,113.639,108.792,116.269,117.13,115.821,116.507,109.323,128.372,106.065,103.551,141.779,122.83,124.724,118.47,113.668,113.066,116.096,121.386,115.194,116.078,114.05,125.305
2023,122.389,120.511,115.037,107.979,118.956,123.091,119.054,120.036,112.793,135.028,110.865,104.419,145.415,120.949,119.361,123.618,111.357,109.457,119.675,124.745,120.003,120.888,118.857,127.744
2024,125.43,123.666,114.538,105.751,119.493,128.119,121.014,122.085,114.324,134.698,113.173,106.144,149.655,122.09,118.92,127.848,112.211,109.974,121.99,127.775,123.896,125.394,121.953,130.231
