Time,Gross domestic product,Personal consumption expenditures,Goods,Durable goods,Nondurable goods,Services,Gross private domestic investment,Fixed investment,Nonresidential,Structures,Equipment,Intellectual property products,Residential,Exports,Goods.1,Services.1,Imports,Goods.2,Services.2,Government consumption expenditures and gross investment,Federal,National defense,Nondefense,State and local
1947Q1,11.148,11.557,22.699,51.892,14.928,7.029,15.866,14.837,19.181,5.236,35.341,22.342,7.186,19.531,23.63,12.83,13.931,13.979,13.358,7.184,9.668,9.616,9.134,5.186
1947Q2,11.3,11.649,22.917,52.369,15.074,7.068,16.473,15.396,19.763,5.303,36.836,22.569,7.584,20.977,25.882,12.272,14.912,15.327,13.279,7.166,9.555,9.572,8.691,5.268
1947Q3,11.478,11.866,23.267,52.662,15.346,7.237,17.022,15.781,20.284,5.489,37.664,23.036,7.751,22.045,27.531,11.986,15.711,16.413,13.283,7.029,9.169,8.825,9.752,5.38
1947Q4,11.714,12.162,23.88,53.348,15.81,7.401,17.227,16.105,20.652,5.673,38.013,23.561,7.943,22.589,28.367,11.89,16.247,17.137,13.36,7.118,9.184,8.82,9.905,5.552
1948Q1,11.849,12.297,24.223,53.756,16.07,7.444,17.448,16.265,20.762,5.824,37.805,23.622,8.085,22.732,28.548,11.986,16.626,17.505,13.761,7.252,9.259,9.04,9.304,5.757
1948Q2,11.989,12.424,24.482,54.461,16.23,7.518,17.823,16.62,21.343,5.984,38.916,24.015,8.173,22.61,28.35,12.06,16.682,17.561,13.831,7.35,9.336,9.187,9.143,5.883
1948Q3,12.198,12.614,24.859,56.356,16.388,7.631,18.313,17.124,22.074,6.138,40.532,24.361,8.36,22.343,27.925,12.157,16.518,17.341,13.824,7.497,9.433,9.327,9.116,6.094
1948Q4,12.193,12.574,24.673,56.459,16.218,7.659,18.418,17.309,22.373,6.195,41.266,24.254,8.405,21.997,27.382,12.245,16.253,17.004,13.747,7.543,9.439,9.367,9.025,6.188
1949Q1,12.153,12.475,24.368,56.269,15.971,7.654,18.363,17.278,22.22,6.09,41.205,24.189,8.471,21.608,26.791,12.296,15.887,16.592,13.511,7.658,9.735,9.538,9.668,6.123
1949Q2,12.078,12.399,24.091,55.9,15.766,7.669,18.33,17.254,22.186,6.006,41.451,24.111,8.461,21.206,26.175,12.365,15.722,16.397,13.414,7.608,9.726,9.51,9.717,6.027
1949Q3,11.991,12.327,23.812,55.22,15.587,7.694,18.139,17.067,22.101,5.975,41.313,24.064,8.264,20.871,25.666,12.406,15.654,16.316,13.363,7.563,9.648,9.458,9.573,6.013
1949Q4,11.988,12.317,23.671,55.154,15.469,7.749,18.062,17.005,21.972,5.987,40.855,24.055,8.268,20.646,25.318,12.449,15.715,16.403,13.348,7.629,9.833,9.617,9.829,5.973
1950Q1,11.954,12.297,23.544,54.986,15.371,7.781,18.039,17.002,21.998,5.975,40.982,24.058,8.256,20.311,24.837,12.413,16.009,16.861,13.223,7.625,9.891,9.654,9.953,5.916
1950Q2,12.004,12.356,23.674,55.408,15.442,7.81,18.306,17.276,22.211,5.956,41.674,24.322,8.468,20.351,24.873,12.468,16.35,17.299,13.324,7.594,9.778,9.603,9.69,5.956
1950Q3,12.254,12.614,24.257,56.176,15.885,7.93,18.815,17.76,22.681,6.084,42.544,24.858,8.79,20.539,25.127,12.526,16.877,17.966,13.49,7.736,9.894,9.813,9.48,6.124
1950Q4,12.45,12.839,24.768,57.103,16.249,8.031,19.236,18.093,23.428,6.342,43.779,25.437,8.775,20.917,25.656,12.598,17.661,18.95,13.705,7.803,9.841,9.846,9.059,6.3
1951Q1,12.871,13.247,25.777,59.215,16.935,8.178,19.933,18.691,24.203,6.598,45.164,25.717,9.062,22.158,27.411,12.803,19.129,20.811,14.095,8.146,10.342,10.116,10.562,6.513
1951Q2,12.945,13.353,25.998,59.609,17.088,8.238,20.245,18.973,24.615,6.759,45.736,26.119,9.167,22.966,28.524,13.013,20.158,22.188,14.243,8.09,10.149,9.939,10.216,6.622
1951Q3,12.987,13.371,25.962,59.632,17.052,8.282,20.331,19.121,24.836,6.871,45.943,26.342,9.216,23.635,29.406,13.278,20.742,23.025,14.304,8.147,10.176,9.957,10.247,6.737
1951Q4,13.158,13.548,26.273,60.207,17.268,8.408,20.516,19.316,25.101,6.935,46.488,26.561,9.301,24.022,29.869,13.54,20.825,23.21,14.273,8.26,10.326,10.105,10.365,6.821
1952Q1,13.175,13.606,26.336,60.618,17.285,8.467,20.585,19.404,25.21,6.993,46.634,26.453,9.348,23.422,28.948,13.596,19.976,21.79,14.516,8.184,10.189,9.914,10.708,6.829
1952Q2,13.225,13.603,26.184,59.904,17.22,8.534,20.648,19.491,25.269,6.97,46.914,26.445,9.429,23.35,28.733,13.828,19.652,21.412,14.356,8.285,10.315,10.042,10.824,6.915
1952Q3,13.325,13.692,26.281,60.524,17.25,8.624,20.667,19.527,25.209,6.955,46.755,26.555,9.519,23.304,28.572,14.029,19.308,20.999,14.182,8.382,10.399,10.12,10.951,7.059
1952Q4,13.372,13.715,26.212,59.103,17.322,8.69,20.579,19.492,25.224,6.969,46.727,26.613,9.461,23.271,28.45,14.187,18.99,20.631,13.982,8.469,10.551,10.27,11.096,7.053
1953Q1,13.385,13.766,26.19,59.678,17.247,8.78,20.556,19.516,25.261,6.99,46.696,26.859,9.467,23.364,28.545,14.283,18.824,20.453,13.845,8.414,10.418,10.117,11.151,7.124
1953Q2,13.417,13.786,26.114,59.746,17.174,8.846,20.646,19.627,25.465,7.089,46.928,26.969,9.478,23.323,28.45,14.354,18.64,20.265,13.684,8.431,10.458,10.146,11.266,7.102
1953Q3,13.467,13.861,26.11,59.363,17.21,8.961,20.796,19.781,25.656,7.181,47.151,27.046,9.56,23.248,28.336,14.353,18.555,20.211,13.562,8.407,10.42,10.085,11.392,7.1
1953Q4,13.507,13.921,26.117,59.479,17.205,9.05,20.739,19.735,25.618,7.17,47.059,27.044,9.522,23.15,28.21,14.308,18.558,20.268,13.489,8.438,10.484,10.151,11.434,7.084
1954Q1,13.564,13.991,26.235,59.953,17.262,9.102,20.774,19.75,25.721,7.071,47.788,27.198,9.471,23.041,28.074,14.249,18.771,20.521,13.613,8.491,10.593,10.287,11.335,7.059
1954Q2,13.589,13.972,26.134,58.447,17.319,9.119,20.85,19.823,25.832,7.0,48.512,27.154,9.498,22.958,27.984,14.175,18.857,20.665,13.61,8.575,10.641,10.323,11.461,7.219
1954Q3,13.577,13.926,25.948,57.489,17.25,9.135,20.834,19.821,25.663,7.003,47.908,27.162,9.608,22.912,27.935,14.131,18.977,20.862,13.608,8.633,10.72,10.417,11.419,7.257
1954Q4,13.595,13.912,25.816,57.154,17.169,9.175,20.841,19.837,25.703,7.012,47.998,27.174,9.605,22.907,27.931,14.124,18.991,20.892,13.598,8.706,10.821,10.522,11.474,7.301
1955Q1,13.646,13.957,25.853,57.51,17.169,9.227,20.843,19.85,25.657,7.031,47.612,27.625,9.648,22.976,28.01,14.179,18.756,20.611,13.461,8.75,10.939,10.61,11.778,7.249
1955Q2,13.722,13.971,25.83,57.792,17.12,9.26,20.971,19.981,25.799,7.088,47.821,27.703,9.729,23.076,28.141,14.217,18.768,20.644,13.445,8.9,11.2,10.875,11.983,7.279
1955Q3,13.816,14.026,25.916,58.342,17.137,9.304,21.219,20.221,26.191,7.185,48.678,27.878,9.795,23.196,28.305,14.252,18.805,20.698,13.452,8.994,11.28,11.01,11.699,7.403
1955Q4,13.908,14.064,25.922,58.497,17.126,9.359,21.494,20.481,26.71,7.345,49.685,28.067,9.801,23.356,28.526,14.293,18.862,20.764,13.488,9.102,11.414,11.146,11.798,7.493
1956Q1,14.045,14.122,25.995,58.72,17.167,9.413,21.936,20.901,27.432,7.67,50.594,28.454,9.882,23.538,28.821,14.24,18.916,20.829,13.523,9.252,11.566,11.319,11.784,7.664
1956Q2,14.177,14.217,26.188,58.846,17.327,9.467,22.174,21.128,27.67,7.646,51.419,28.755,10.033,23.782,29.148,14.325,19.063,21.009,13.603,9.395,11.759,11.505,12.006,7.764
1956Q3,14.334,14.356,26.473,59.697,17.493,9.546,22.543,21.479,28.333,7.853,52.673,29.049,10.049,24.051,29.489,14.458,19.178,21.13,13.689,9.481,11.819,11.569,12.027,7.894
1956Q4,14.422,14.44,26.623,60.476,17.546,9.605,22.707,21.638,28.699,7.931,53.521,29.244,10.005,24.33,29.811,14.664,19.359,21.373,13.76,9.534,11.859,11.625,11.948,7.97
1957Q1,14.587,14.57,26.86,60.962,17.708,9.693,22.922,21.844,29.132,8.016,54.541,29.551,9.976,24.665,30.149,15.035,19.443,21.408,13.9,9.702,12.117,11.88,12.197,8.049
1957Q2,14.69,14.662,27.065,61.805,17.804,9.738,23.015,21.942,29.289,8.117,54.567,29.733,10.0,24.851,30.314,15.295,19.456,21.423,13.908,9.798,12.204,11.945,12.437,8.169
1957Q3,14.803,14.781,27.276,61.799,17.994,9.821,23.157,22.09,29.485,8.16,54.997,29.905,10.068,24.923,30.345,15.467,19.341,21.262,13.868,9.859,12.29,12.04,12.427,8.208
1957Q4,14.89,14.858,27.371,61.919,18.066,9.894,23.24,22.181,29.706,8.14,55.825,29.984,10.03,24.891,30.277,15.509,19.148,20.999,13.797,9.94,12.447,12.172,12.744,8.209
1958Q1,15.015,15.041,27.819,63.02,18.353,9.967,23.044,22.005,29.429,7.919,55.75,30.337,9.984,24.646,29.98,15.356,18.692,20.381,13.625,10.007,12.589,12.309,12.906,8.2
1958Q2,15.079,15.069,27.833,62.766,18.388,10.001,23.16,22.102,29.603,7.969,56.085,30.482,9.995,24.549,29.871,15.27,18.498,20.106,13.558,10.1,12.705,12.401,13.177,8.277
1958Q3,15.115,15.08,27.762,62.701,18.333,10.048,23.197,22.137,29.671,8.0,56.141,30.573,9.995,24.539,29.896,15.18,18.469,20.064,13.545,10.172,12.808,12.533,13.066,8.323
1958Q4,15.134,15.074,27.631,62.478,18.239,10.097,23.248,22.178,29.741,8.025,56.239,30.668,10.003,24.591,30.015,15.086,18.514,20.097,13.595,10.222,12.887,12.6,13.231,8.345
1959Q1,15.205,15.177,27.815,63.568,18.295,10.168,23.253,22.209,29.78,7.97,56.644,30.653,10.018,24.438,30.253,14.387,18.538,20.011,13.773,10.257,12.873,12.535,13.54,8.437
1959Q2,15.249,15.239,27.849,63.811,18.3,10.245,23.359,22.304,29.967,8.016,56.992,30.91,10.025,24.477,30.091,14.702,18.624,20.18,13.735,10.247,12.85,12.529,13.432,8.441
1959Q3,15.314,15.331,27.936,63.8,18.379,10.342,23.434,22.374,30.114,8.047,57.277,31.141,10.022,24.683,30.13,15.127,18.711,20.324,13.732,10.243,12.845,12.555,13.268,8.437
1959Q4,15.373,15.415,28.01,63.772,18.448,10.433,23.478,22.414,30.185,8.053,57.411,31.343,10.029,24.945,30.449,15.292,18.893,20.598,13.756,10.252,12.854,12.568,13.258,8.446
1960Q1,15.402,15.435,27.97,63.679,18.422,10.48,23.505,22.446,30.201,8.081,57.314,31.41,10.059,24.976,30.42,15.403,18.84,20.541,13.714,10.283,12.839,12.55,13.255,8.529
1960Q2,15.457,15.515,28.11,63.603,18.554,10.537,23.537,22.485,30.222,8.032,57.6,31.433,10.097,24.933,30.377,15.363,18.835,20.506,13.753,10.294,12.825,12.53,13.272,8.565
1960Q3,15.524,15.574,28.15,63.408,18.609,10.605,23.528,22.48,30.21,7.994,57.697,31.519,10.099,25.047,30.529,15.416,18.93,20.537,13.926,10.391,12.984,12.648,13.639,8.608
1960Q4,15.592,15.642,28.256,63.297,18.714,10.66,23.496,22.447,30.129,7.941,57.639,31.576,10.111,24.97,30.41,15.409,18.879,20.392,14.011,10.481,13.13,12.802,13.728,8.648
1961Q1,15.61,15.671,28.291,63.308,18.742,10.688,23.461,22.404,30.089,7.941,57.483,31.598,10.078,25.086,30.673,15.287,18.898,20.358,14.099,10.483,13.082,12.73,13.816,8.701
1961Q2,15.641,15.67,28.174,63.607,18.611,10.734,23.474,22.421,30.068,7.956,57.313,31.628,10.118,25.42,31.143,15.393,18.878,20.288,14.148,10.542,13.121,12.77,13.843,8.786
1961Q3,15.674,15.726,28.246,63.897,18.646,10.785,23.472,22.414,30.049,7.964,57.154,31.726,10.12,25.373,30.995,15.506,18.859,20.281,14.114,10.541,13.065,12.701,13.869,8.839
1961Q4,15.71,15.743,28.198,63.818,18.611,10.83,23.477,22.416,30.066,7.993,57.047,31.803,10.112,25.561,31.241,15.598,18.85,20.268,14.11,10.597,13.12,12.754,13.929,8.901
1962Q1,15.788,15.811,28.282,63.826,18.684,10.892,23.493,22.433,30.074,8.005,57.019,31.8,10.13,25.606,31.114,15.907,18.635,19.931,14.096,10.676,13.19,12.811,14.061,8.997
1962Q2,15.831,15.867,28.347,63.909,18.733,10.946,23.507,22.453,30.115,8.031,57.021,31.859,10.128,25.357,30.677,15.96,18.665,19.89,14.223,10.724,13.263,12.888,14.106,9.023
1962Q3,15.869,15.91,28.392,64.119,18.751,10.988,23.503,22.447,30.108,8.023,57.037,31.855,10.125,25.342,30.633,15.991,18.599,19.73,14.31,10.756,13.319,12.953,14.115,9.033
1962Q4,15.907,15.958,28.47,63.867,18.849,11.025,23.481,22.425,30.084,8.046,56.837,31.859,10.111,25.383,30.659,16.049,18.696,19.705,14.58,10.796,13.344,12.913,14.442,9.092
1963Q1,15.985,16.004,28.503,63.888,18.876,11.078,23.481,22.429,30.087,8.071,56.788,31.761,10.114,25.42,30.79,15.944,18.867,19.832,14.796,10.956,13.592,13.225,14.381,9.175
1963Q2,15.999,16.029,28.506,64.083,18.857,11.113,23.439,22.396,30.079,8.086,56.676,31.798,10.074,25.385,30.722,15.956,18.949,19.918,14.863,10.979,13.582,13.209,14.398,9.233
1963Q3,16.016,16.107,28.679,64.264,18.996,11.151,23.371,22.327,30.113,8.108,56.65,31.912,9.961,25.325,30.595,16.003,19.061,20.057,14.918,10.935,13.471,13.059,14.458,9.254
1963Q4,16.121,16.166,28.747,64.466,19.034,11.209,23.436,22.387,30.131,8.114,56.615,32.065,10.026,25.358,30.58,16.116,19.166,20.177,14.984,11.127,13.796,13.431,14.575,9.328
1964Q1,16.182,16.243,28.883,64.559,19.148,11.262,23.372,22.322,30.143,8.103,56.642,32.199,9.932,25.416,30.747,15.994,19.337,20.479,14.923,11.207,13.93,13.541,14.797,9.361
1964Q2,16.229,16.278,28.874,64.522,19.144,11.316,23.557,22.516,30.29,8.196,56.689,32.366,10.092,25.401,30.631,16.151,19.435,20.591,14.983,11.235,13.944,13.515,14.968,9.405
1964Q3,16.309,16.331,28.928,64.452,19.202,11.37,23.593,22.548,30.309,8.207,56.663,32.46,10.123,25.602,30.882,16.263,19.407,20.512,15.043,11.347,14.136,13.697,15.187,9.449
1964Q4,16.378,16.385,28.997,64.324,19.28,11.419,23.813,22.774,30.453,8.336,56.613,32.48,10.342,25.879,31.258,16.366,19.466,20.56,15.115,11.361,14.117,13.667,15.207,9.495
1965Q1,16.45,16.438,29.061,64.335,19.339,11.469,23.826,22.788,30.496,8.351,56.708,32.452,10.332,26.464,32.099,16.52,19.624,20.632,15.398,11.439,14.166,13.715,15.254,9.603
1965Q2,16.527,16.522,29.23,64.134,19.521,11.518,23.872,22.832,30.57,8.412,56.675,32.539,10.341,26.379,31.969,16.507,19.541,20.459,15.483,11.507,14.243,13.807,15.274,9.666
1965Q3,16.602,16.583,29.302,63.814,19.628,11.576,23.917,22.88,30.666,8.433,56.866,32.667,10.336,26.405,31.972,16.571,19.677,20.614,15.569,11.622,14.399,13.988,15.339,9.751
1965Q4,16.711,16.634,29.303,63.462,19.673,11.65,24.173,23.134,30.812,8.599,56.649,32.755,10.617,26.308,31.776,16.643,19.885,20.844,15.711,11.807,14.713,14.331,15.546,9.83
1966Q1,16.813,16.763,29.57,63.378,19.937,11.722,24.087,23.035,30.792,8.578,56.593,32.933,10.472,26.746,32.45,16.673,19.98,20.866,15.929,11.887,14.736,14.312,15.71,9.966
1966Q2,16.965,16.899,29.784,63.65,20.105,11.829,24.454,23.414,31.077,8.766,56.764,33.072,10.851,26.969,32.726,16.808,20.191,21.177,15.93,11.971,14.74,14.306,15.749,10.128
1966Q3,17.114,17.028,29.972,63.932,20.246,11.937,24.465,23.416,31.147,8.777,56.928,33.146,10.786,27.286,33.166,16.926,20.136,21.096,15.929,12.154,14.994,14.602,15.84,10.254
1966Q4,17.254,17.16,30.145,64.224,20.373,12.054,24.742,23.691,31.412,8.89,57.349,33.243,11.023,27.756,33.839,17.057,20.254,21.269,15.931,12.209,14.992,14.575,15.935,10.367
1967Q1,17.326,17.209,30.121,64.091,20.368,12.136,24.841,23.785,31.555,8.926,57.673,33.284,11.047,28.248,34.594,17.122,20.251,21.195,16.062,12.256,14.938,14.51,15.931,10.513
1967Q2,17.43,17.291,30.192,64.372,20.4,12.225,24.948,23.901,31.727,8.975,57.992,33.457,11.081,28.204,34.43,17.263,20.199,21.111,16.074,12.381,15.1,14.686,16.03,10.61
1967Q3,17.587,17.452,30.514,65.082,20.614,12.32,25.088,24.054,31.94,9.037,58.374,33.681,11.143,28.172,34.282,17.407,20.205,21.109,16.091,12.519,15.237,14.839,16.095,10.759
1967Q4,17.781,17.602,30.749,65.739,20.752,12.438,25.376,24.341,32.249,9.163,58.802,33.988,11.348,28.327,34.415,17.587,20.217,21.115,16.112,12.718,15.511,15.142,16.233,10.898
1968Q1,17.975,17.789,31.033,66.166,20.967,12.589,25.628,24.6,32.51,9.292,59.021,34.376,11.55,28.529,34.578,17.837,20.352,21.26,16.21,12.873,15.639,15.222,16.553,11.09
1968Q2,18.177,17.971,31.296,66.569,21.166,12.741,25.857,24.834,32.826,9.41,59.537,34.616,11.653,29.118,35.449,17.966,20.506,21.422,16.331,13.033,15.818,15.395,16.741,11.244
1968Q3,18.351,18.157,31.585,67.123,21.369,12.888,26.0,24.983,33.093,9.486,60.032,34.878,11.659,28.759,34.799,18.068,20.548,21.403,16.494,13.211,16.081,15.654,17.011,11.352
1968Q4,18.607,18.358,31.902,67.736,21.592,13.044,26.535,25.52,33.585,9.725,60.642,35.24,12.117,28.962,35.016,18.238,20.695,21.58,16.559,13.429,16.312,15.867,17.302,11.573
1969Q1,18.793,18.536,32.124,68.131,21.753,13.207,26.83,25.813,33.86,9.863,60.855,35.694,12.364,29.396,35.618,18.397,20.781,21.71,16.549,13.535,16.346,15.888,17.386,11.749
1969Q2,19.041,18.772,32.51,68.642,22.056,13.385,27.114,26.091,34.18,10.026,61.171,36.065,12.542,29.445,35.523,18.658,20.872,21.794,16.641,13.761,16.575,16.13,17.553,11.983
1969Q3,19.312,19.002,32.875,68.97,22.364,13.563,27.351,26.329,34.558,10.165,61.716,36.539,12.593,29.847,36.017,18.903,21.023,21.918,16.834,14.062,17.005,16.546,18.017,12.187
1969Q4,19.554,19.221,33.181,69.395,22.602,13.75,27.711,26.672,34.983,10.358,62.254,36.94,12.782,30.537,37.019,19.079,21.565,22.658,16.905,14.272,17.218,16.745,18.274,12.406
1970Q1,19.823,19.444,33.501,69.514,22.893,13.937,27.934,26.887,35.371,10.462,62.928,37.475,12.771,30.536,37.239,18.735,21.793,22.919,17.044,14.64,17.722,17.199,18.946,12.676
1970Q2,20.109,19.659,33.775,69.787,23.118,14.131,28.514,27.465,35.95,10.789,63.525,37.819,13.244,31.133,38.027,19.011,22.042,23.149,17.303,14.888,17.956,17.394,19.311,12.944
1970Q3,20.274,19.851,34.01,70.301,23.274,14.306,28.457,27.407,36.182,10.819,64.003,38.221,12.888,31.059,37.701,19.33,22.581,23.861,17.435,15.149,18.263,17.696,19.62,13.178
1970Q4,20.539,20.108,34.389,71.47,23.481,14.517,28.792,27.728,36.659,10.998,64.752,38.644,12.994,31.174,37.732,19.567,22.809,24.136,17.536,15.387,18.495,17.922,19.865,13.428
1971Q1,20.85,20.299,34.571,72.482,23.52,14.713,29.294,28.21,37.178,11.226,65.462,39.074,13.341,32.082,38.868,20.075,23.382,24.565,18.338,15.808,19.081,18.504,20.442,13.733
1971Q2,21.13,20.53,34.9,72.998,23.765,14.908,29.71,28.607,37.613,11.481,65.877,39.33,13.615,32.154,38.815,20.323,23.464,24.501,18.722,16.099,19.437,18.839,20.855,13.981
1971Q3,21.343,20.732,35.091,72.835,23.973,15.117,30.034,28.94,37.945,11.736,65.972,39.573,13.866,31.997,38.403,20.567,23.751,24.767,19.03,16.33,19.719,19.127,21.116,14.178
1971Q4,21.52,20.86,35.191,72.461,24.126,15.259,30.291,29.205,38.184,11.941,65.968,39.753,14.08,32.195,38.647,20.694,24.105,25.053,19.503,16.586,20.122,19.592,21.337,14.333
1972Q1,21.865,21.08,35.548,73.086,24.389,15.425,30.646,29.565,38.616,12.175,66.427,40.118,14.278,33.061,39.186,21.981,24.514,25.68,19.367,17.112,20.953,20.636,21.582,14.654
1972Q2,21.999,21.202,35.661,73.461,24.446,15.553,30.858,29.764,38.912,12.327,66.737,40.445,14.345,33.323,39.474,22.208,25.148,26.464,19.589,17.3,21.166,20.857,21.768,14.827
1972Q3,22.198,21.388,35.936,73.836,24.662,15.705,31.179,30.057,39.161,12.488,66.862,40.776,14.586,33.454,39.546,22.44,25.554,26.877,19.941,17.503,21.34,21.022,21.964,15.052
1972Q4,22.45,21.562,36.186,73.599,24.946,15.852,31.622,30.482,39.396,12.731,66.708,41.094,15.034,34.215,40.639,22.646,26.12,27.442,20.462,17.813,21.804,21.508,22.369,15.259
1973Q1,22.735,21.823,36.764,73.904,25.479,15.984,31.906,30.789,39.738,12.92,66.986,41.597,15.23,35.189,42.245,22.495,26.888,28.28,20.98,18.133,22.155,21.836,22.772,15.559
1973Q2,23.111,22.242,37.611,74.486,26.247,16.233,32.474,31.333,40.302,13.196,67.661,42.181,15.614,36.768,44.378,23.07,29.005,30.566,22.475,18.453,22.54,22.267,23.042,15.836
1973Q3,23.553,22.647,38.326,74.853,26.914,16.515,33.152,31.994,40.927,13.562,68.208,42.905,16.145,38.896,47.282,23.769,30.387,31.96,23.718,18.764,23.006,22.803,23.334,16.049
